category,rank,college,volunteers,,,
Large Colleges and Universities  (>15K undergraduates),1,University of Wisconsin-Madison,87,,,
Large Colleges and Universities  (>15K undergraduates),2,University of Washington,73,,,
Large Colleges and Universities  (>15K undergraduates),3,University of Minnesota,70,,,
Large Colleges and Universities  (>15K undergraduates),4,University of Michigan,60,,,
Large Colleges and Universities  (>15K undergraduates),5,University of Florida,58,,,
Large Colleges and Universities  (>15K undergraduates),6,Colorado State University,54,,,
Large Colleges and Universities  (>15K undergraduates),7,University of North Carolina at Chapel Hill,51,,,
Large Colleges and Universities  (>15K undergraduates),8,The Pennsylvania State University,50,,,
Large Colleges and Universities  (>15K undergraduates),9,The Ohio State University ,49,,,
Large Colleges and Universities  (>15K undergraduates),10,Michigan State University,48,,,
Large Colleges and Universities  (>15K undergraduates),11,University of Colorado Boulder,47,,,
Large Colleges and Universities  (>15K undergraduates),11,University of Oregon,47,,,
Large Colleges and Universities  (>15K undergraduates),13,"University of California, Los Angeles",43,,,
Large Colleges and Universities  (>15K undergraduates),13,Arizona State University,43,,,
Large Colleges and Universities  (>15K undergraduates),15,"University of Maryland, C ollege Park",42,,,
Large Colleges and Universities  (>15K undergraduates),15,University of Virginia,42,,,
Large Colleges and Universities  (>15K undergraduates),17,James Madison University,41,,,
Large Colleges and Universities  (>15K undergraduates),18,"University of California, Santa Barbara",40,,,
Large Colleges and Universities  (>15K undergraduates),18,University of South Florida,40,,,
Large Colleges and Universities  (>15K undergraduates),20,"University of California, Davis",39,,,
Large Colleges and Universities  (>15K undergraduates),21,North Carolina State Universi ty,37,,,
Large Colleges and Universities  (>15K undergraduates),21,Indiana University Bloom ington,37,,,
Large Colleges and Universities  (>15K undergraduates),21,University of Illinois at Urb ana-Champaign,37,,,
Large Colleges and Universities  (>15K undergraduates),21,University of Massachusetts Amherst,37,,,
Large Colleges and Universities  (>15K undergraduates),25,University of Texas at Aus tin,36,,,
Medium Colleges and Universities  (5K-15K undergraduates),,,,,,
Medium Colleges and Universities  (5K-15K undergraduates),1,American University,54,,,
Medium Colleges and Universities  (5K-15K undergraduates),2,Western Washington University,48,,,
Medium Colleges and Universities  (5K-15K undergraduates),3,The George Washington University,45,,,
Medium Colleges and Universities  (5K-15K undergraduates),4,The College of William & Mary,36,,,
Medium Colleges and Universities  (5K-15K undergraduates),5,Humboldt State University,33,,,
Medium Colleges and Universities  (5K-15K undergraduates),6,Georgetown University,31,,,
Medium Colleges and Universities  (5K-15K undergraduates),7,University of Montana,30,,,
Medium Colleges and Universities  (5K-15K undergraduates),8,University of Vermont,29,,,
Medium Colleges and Universities  (5K-15K undergraduates),8,Emory University,29,,,
Medium Colleges and Universities  (5K-15K undergraduates),10,Tulane University,26,,,
Medium Colleges and Universities  (5K-15K undergraduates),11,Cornell University,24,,,
Medium Colleges and Universities  (5K-15K undergraduates),12,College of Charleston,20,,,
Medium Colleges and Universities  (5K-15K undergraduates),13,Boston College,19,,,
Medium Colleges and Universities  (5K-15K undergraduates),14,Loyola University Chicago,18,,,
Medium Colleges and Universities  (5K-15K undergraduates),14,SUNY Geneseo,18,,,
Medium Colleges and Universities  (5K-15K undergraduates),14,Howard University,18,,,
Medium Colleges and Universities  (5K-15K undergraduates),14,University of Hawai'i at MÄÅnoa,18,,,
Medium Colleges and Universities  (5K-15K undergraduates),14,University of San Diego,18,,,
Medium Colleges and Universities  (5K-15K undergraduates),14,University of Wisconsin-Stevens Point,18,,,
Medium Colleges and Universities  (5K-15K undergraduates),20,Fordham University,17,,,
Medium Colleges and Universities  (5K-15K undergraduates),21,Montana State University,15,,,
Medium Colleges and Universities  (5K-15K undergraduates),21,University of Rhode Island,15,,,
Medium Colleges and Universities  (5K-15K undergraduates),21,Northwestern University,15,,,
Medium Colleges and Universities  (5K-15K undergraduates),21,Tufts University,15,,,
Medium Colleges and Universities  (5K-15K undergraduates),21,University of New Hampshire,15,,,
Small Colleges and Universities  (<5K undergraduates),1,Denison University,16,,,
Small Colleges and Universities  (<5K undergraduates),2,University of Mary Washington,13,,,
Small Colleges and Universities  (<5K undergraduates),2,University of Puget Sound,13,,,
Small Colleges and Universities  (<5K undergraduates),4,St. Mary's College of Maryl and,12,,,
Small Colleges and Universities  (<5K undergraduates),4,Whitworth University,12,,,
Small Colleges and Universities  (<5K undergraduates),4,Hobart and William Smith Colleges,12,,,
Small Colleges and Universities  (<5K undergraduates),7,Colorado College,11,,,
Small Colleges and Universities  (<5K undergraduates),7,Smith College,`11,,,
Small Colleges and Universities  (<5K undergraduates),7,Spelman College,11,,,
Small Colleges and Universities  (<5K undergraduates),7,St. Lawrence University,11,,,
Small Colleges and Universities  (<5K undergraduates),7,The Evergreen State College,11,,,
Small Colleges and Universities  (<5K undergraduates),7,Oberlin College,11,,,
Small Colleges and Universities  (<5K undergraduates),13,Carleton College,10,,,
Small Colleges and Universities  (<5K undergraduates),13,Simmons College,10,,,
Small Colleges and Universities  (<5K undergraduates),13,Bowdoin College,10,,,
Small Colleges and Universities  (<5K undergraduates),13,Connecticut College,10,,,
Small Colleges and Universities  (<5K undergraduates),13,Kalamazoo College,10,,,
Small Colleges and Universities  (<5K undergraduates),13,Eckerd College,10,,,
Small Colleges and Universities  (<5K undergraduates),13,SUNY College of Environmental Science and Forestry,10,,,
Small Colleges and Universities  (<5K undergraduates),13,Wellesley College,10,,,
Small Colleges and Universities  (<5K undergraduates),13,Grinnell College,10,,,
Small Colleges and Universities  (<5K undergraduates),22,Hamilton College,9,,,
Small Colleges and Universities  (<5K undergraduates),22,Loyola University New Orleans,9,,,
Small Colleges and Universities  (<5K undergraduates),22,Whitman College,9,,,
Small Colleges and Universities  (<5K undergraduates),22,College of Wooster,9,,,
Small Colleges and Universities  (<5K undergraduates),22,Rice University,9,,,
Grad Schools,1,American University,20,,,
Grad Schools,1,Tulane University,20,,,
Grad Schools,3,University of South Florida,18,,,
Grad Schools,4,University of Michigan,15,,,
Grad Schools,4,Boston University,15,,,
Historical since 1961,1,"University of California, Berkeley","3,640",,,
Historical since 1962,2,University of Wisconsin-Madison,"3,239",,,
Historical since 1963,3,University of Washington,"2,981",,,
Historical since 1964,4,University of Michigan,"2,684",,,
Historical since 1965,5,University of Colorado Boulder,"2,468",,,